# external cosmogenics, factorised sampling table
# generated by make_external_cosmogenics_table.py from a 189875-row CSV
# energy in keV; cos_theta measured about the drift axis; phi in rad
#
# SPECIES <pdg> <n_particles> <representation>
# L    <ekin_keV> <count>                 discrete line, exact energy
# E    <lo_keV> <hi_keV> <count>          quantile-spaced continuum
# A    <cos_lo> <cos_hi> <phi_lo> <phi_hi> <count>
# RAW  <ekin_keV> <dirX> <dirY> <dirZ>    species below 200 particles

A 0.7500 0.8750 1.5708 2.0944 243
A 0.7500 0.8750 2.0944 2.6180 234
A 0.7500 0.8750 2.6180 3.1416 131
A 0.8750 1.0000 -3.1416 -2.6180 139
A 0.8750 1.0000 -2.6180 -2.0944 183
A 0.8750 1.0000 -2.0944 -1.5708 223
A 0.8750 1.0000 -1.5708 -1.0472 209
A 0.8750 1.0000 -1.0472 -0.5236 179
A 0.8750 1.0000 -0.5236 0.0000 171
A 0.8750 1.0000 0.0000 0.5236 143
A 0.8750 1.0000 0.5236 1.0472 212
A 0.8750 1.0000 1.0472 1.5708 205
A 0.8750 1.0000 1.5708 2.0944 205
A 0.8750 1.0000 2.0944 2.6180 192
A 0.8750 1.0000 2.6180 3.1416 177

SPECIES 2112 80774 binned
E 3.50826e-06 3.88777e-05 631
E 3.88777e-05 5.9114e-05 631
E 5.9114e-05 8.60203e-05 631
E 8.60203e-05 0.000129952 631
E 0.000129952 0.00030246 631
E 0.00030246 0.000933242 631
E 0.000933242 0.00244709 631
E 0.00244709 0.00586007 631
E 0.00586007 0.0123516 631
E 0.0123516 0.0261546 631
E 0.0261546 0.0533333 632
E 0.0533333 0.107269 631
E 0.107269 0.195457 631
E 0.195457 0.376209 631
E 0.376209 0.649021 631
E 0.649021 1.14006 631
E 1.14006 1.88167 631
E 1.88167 3.02485 631
E 3.02485 4.80101 631
E 4.80101 7.34278 631
E 7.34278 10.522 631
E 10.522 14.5424 631
E 14.5424 19.7485 631
E 19.7485 25.6052 631
E 25.6052 33.6131 631
E 33.6131 41.2314 631
E 41.2314 48.631 631
E 48.631 54.2345 631
E 54.2345 57.1384 631
E 57.1384 59.0659 631
E 59.0659 60.6797 631
E 60.6797 62.2588 632
E 62.2588 63.9407 631
E 63.9407 66.6842 631
E 66.6842 92.4108 631
E 92.4108 111.229 631
E 111.229 127.981 631
E 127.981 139.498 631
E 139.498 148.224 631
E 148.224 153.868 631
E 153.868 157.612 631
E 157.612 160.716 631
E 160.716 163.351 631
E 163.351 167.89 631
E 167.89 199.229 631
E 199.229 211.7 631
E 211.7 216.869 631
E 216.869 233.004 631
E 233.004 243.532 631
E 243.532 249.102 631
E 249.102 260.648 631
E 260.648 282.373 631
E 282.373 301.968 631
E 301.968 319.12 632
E 319.12 333.688 631
E 333.688 350.393 631
E 350.393 365.988 631
E 365.988 383.328 631
E 383.328 398.296 631
E 398.296 418.239 631
E 418.239 435.395 631
E 435.395 450.051 631
E 450.051 466.246 631
E 466.246 486.31 631
E 486.31 501.43 631
E 501.43 516.267 631
E 516.267 531.23 631
E 531.23 545.823 631
E 545.823 557.383 631
E 557.383 567.352 631
E 567.352 587.28 631
E 587.28 611.094 631
E 611.094 635.086 631
E 635.086 652.272 631
E 652.272 673.606 632
E 673.606 691.106 631
E 691.106 707.32 631
E 707.32 726.49 631
E 726.49 746.563 631
E 746.563 765.577 631
E 765.577 784.517 631
E 784.517 801.472 631
E 801.472 813.161 631
E 813.161 839.051 631
E 839.051 854.762 631
E 854.762 881.977 631
E 881.977 901.555 631
E 901.555 926.239 631
E 926.239 947.786 631
E 947.786 968.961 631
E 968.961 994.667 631
E 994.667 1024.3 631
E 1024.3 1064.09 631
E 1064.09 1093.61 631
E 1093.61 1122.34 631
E 1122.34 1161.59 631
E 1161.59 1192.83 632
E 1192.83 1219.65 631
E 1219.65 1260.58 631
E 1260.58 1307.61 631
E 1307.61 1377.22 631
E 1377.22 1430.34 631
E 1430.34 1504.36 631
E 1504.36 1606.07 631
E 1606.07 1703.05 631
E 1703.05 1832.25 631
E 1832.25 2000.97 631
E 2000.97 2204.13 631
E 2204.13 2456.26 631
E 2456.26 2792.09 631
E 2792.09 3249.77 631
E 3249.77 3861.02 631
E 3861.02 4715.46 631
E 4715.46 6077.79 631
E 6077.79 8445.32 631
E 8445.32 12762.9 631
E 12762.9 19472.6 631
E 19472.6 28495.4 632
E 28495.4 37925.6 631
E 37925.6 48495.8 631
E 48495.8 59460.8 631
E 59460.8 71464.9 631
E 71464.9 85582.4 631
E 85582.4 104352 631
E 104352 125769 631
E 125769 160504 631
E 160504 225293 631
E 225293 1.64996e+06 631
A -1.0000 -0.8750 -3.1416 -2.6180 1316
A -1.0000 -0.8750 -2.6180 -2.0944 1287
A -1.0000 -0.8750 -2.0944 -1.5708 1315
A -1.0000 -0.8750 -1.5708 -1.0472 1343
A -1.0000 -0.8750 -1.0472 -0.5236 1289
A -1.0000 -0.8750 -0.5236 0.0000 1246
A -1.0000 -0.8750 0.0000 0.5236 1268
A -1.0000 -0.8750 0.5236 1.0472 1226
A -1.0000 -0.8750 1.0472 1.5708 1250
A -1.0000 -0.8750 1.5708 2.0944 1302
A -1.0000 -0.8750 2.0944 2.6180 1314
A -1.0000 -0.8750 2.6180 3.1416 1265
A -0.8750 -0.7500 -3.1416 -2.6180 1057
A -0.8750 -0.7500 -2.6180 -2.0944 1137
A -0.8750 -0.7500 -2.0944 -1.5708 1231
